id,type,prompt,answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,常识问答,谁是蝙蝠侠,蝙蝠侠（Batman）是一位虚构的超级英雄，首次出现在美国DC漫画的《侦探漫画#27》（1939年5月）。蝙蝠侠是由艺术家鲍勃·凯恩和作家比尔·芬格创造的。蝙蝠侠的真实身份是布鲁斯·韦恩（Bruce Wayne），他是一个富有的企业家、慈善家和继承了庞大家产的亿万富翁。在经历了童年时期亲眼目睹父母被枪杀的悲剧后，他发誓要为正义而战，保护哥谭市（Gotham City）的市民免受犯罪分子的侵害。他通过智慧、技巧、武器和先进的技术手段来打击犯罪。虽然蝙蝠侠没有超能力，但他的力量、敏捷、智慧和意志力使他成为了一位出色的超级英雄。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,常识问答,1955 年谁是美国总统,1955年的美国总统是德怀特·D·艾森豪威尔（Dwight D. Eisenhower）。艾森豪威尔在1953年至1961年间担任美国总统，任内共服务了两个任期。在成为总统之前，他是一名杰出的军事领导人，曾担任盟军在欧洲战场的最高统帅，带领盟军赢得了二战的胜利。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,常识问答,2008年全球票房最高的电影是什么？,2008年全球票房最高的电影是《黑暗骑士》（The Dark Knight）。这部电影是克里斯托弗·诺兰执导的蝙蝠侠系列电影的第二部，主演克里斯蒂安·贝尔（Christian Bale）饰演蝙蝠侠。该片受到了观众和评论家的高度评价，特别是希斯·莱杰（Heath Ledger）饰演的小丑角色，他因此荣获了奥斯卡最佳男配角奖。该部电影在全球范围内取得了巨大的票房成功。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,常识问答,蜘蛛有多少只眼睛？,蜘蛛的眼睛数量因种类而异。大多数蜘蛛有8只眼睛，但也有些种类拥有6只、4只、2只，甚至没有眼睛的蜘蛛。具体数量取决于蜘蛛的种类。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,代码能力,"将这段Python代码翻译成Haskell代码
``` Python
    
    def predict_proba(X: Iterable[str]):
        return np.array([predict_one_probas(tweet) for tweet in X])
    
``` Haskell","predict_proba :: [String] -> [Probability] 
predict_proba = map predict_one_probas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,代码能力,"##### Fix bugs in the below function 
### Buggy Python 
import Random a = random.randint(1,12) 
b = random.randint(1,12) 
for i in range(10): 
question = ""What is ""+a+"" x ""+b+""? "" 
answer = input(question) 
if answer = a*b print (Well done!) 
else: print(""No."") 
### Fixed Python","Here's the corrected version of the Python code with the bugs fixed:
pythonCopy code
import random 
for i in range(10): 
a = random.randint(1, 12) 
b = random.randint(1, 12) 
question = ""What is "" + str(a) + "" x "" + str(b) + ""? "" 
answer = int(input(question)) 
if answer == a * b: 
print(""Well done!"") else: print(""No."") 
The changes made are:
Fixed the import statement for the random module (lowercased the module name).
Moved the random number generation for a and b inside the loop to change the numbers for each iteration.
Converted the variables a and b to strings when concatenating them to create the question.
Changed the equality operator = to == in the if statement.
Converted the input to an integer before comparing it to the product of a and b.
Added double quotes around the strings ""Well done!"" and ""No."" in the print statements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,代码能力,"# Python 3.7
def randomly_split_dataset(folder, filename, split_ratio=[0.8, 0.2]):   
df = pd.read_json(folder + filename, lines=True)   train_name, test_name = ""train.jsonl"", ""test.jsonl""  
df_train, df_test = train_test_split(df, test_size=split_ratio[1], random_state=42)
df_train.to_json(folder + train_name, orient='records', lines=True)   
df_test.to_json(folder + test_name, orient='records', lines=True)
randomly_split_dataset('finetune_data/', 'dataset.jsonl')   # An elaborate, high quality docstring for the above function:""""""","这段Python代码定义了一个名为 randomly_split_dataset 的函数，它有三个参数：
folder：一个字符串，表示数据集文件夹的路径。
filename：一个字符串，表示要拆分的数据集文件的名称。
split_ratio：一个列表，包含两个浮点数，分别表示训练集和测试集的划分比例。默认值为 [0.8, 0.2]，即 80% 的数据用于训练集，20% 的数据用于测试集。
函数的主要功能是将一个给定的 JSONL 文件分成两部分：训练集和测试集，并将它们保存到指定的文件中。它使用 Pandas 库读取 JSONL 文件并将其分成训练集和测试集，然后使用 to_json 方法将它们保存到指定的文件中。
为了使用这个函数，您需要提供数据集文件夹的路径和数据集文件的名称。如果您不想使用默认的划分比例，可以提供自己的值。请确保您已经安装了 Pandas 库，并将其导入到您的代码中。
最后，这段代码包含一个简单的函数说明字符串，但是它并没有提供详细的函数使用说明，需要进一步改进。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,文本生成,请根据前半段完成剩下的句子：约翰认为他需要帮助，但他真的需要帮助吗？约翰认为珠宝商喜欢电视，但......,但珠宝商真的喜欢电视吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,文本生成,将此更正为标准英语：She no went to the market。,She didn't go to the market.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,文本生成,列举10本科幻小说：,"以下是10本著名的科幻小说：
《1984》（1984） - 乔治·奥威尔（George Orwell）
《勇者新世界》（Brave New World） - 奥尔德斯·赫胥黎（Aldous Huxley）
《沙丘》（Dune） - 弗兰克·赫伯特（Frank Herbert）
《银河帝国》（Foundation Series） - 艾萨克·阿西莫夫（Isaac Asimov）
《时间机器》（The Time Machine） - 哈伯特·乔治·威尔斯（H.G. Wells）
《星际迷航》（Starship Troopers） - 罗伯特·海因莱因（Robert A. Heinlein）
《火星三部曲》（Mars Trilogy） - 金·斯坦利·罗宾森（Kim Stanley Robinson）
《雪崩红尘》（The Left Hand of Darkness） - 乌苏拉·勒古恩（Ursula K. Le Guin）
《启示录三部曲》（The Three-Body Problem Trilogy） - 刘慈欣（Cixin Liu）
《暗夜行者》（Neuromancer） - 威廉·吉布森（William Gibson）
这些科幻小说涵盖了多种主题和风格，包括太空探险、时间旅行、政治讽刺、乌托邦和反乌托邦等。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
